TIMES,SM1,SM2,SM3,SM4
TIMES,SM1,SM2,SM3,SM4
1,33.402,33.060,36.597,27.183,32.561
TIMES,SM1,SM2,SM3,SM4
1,33.231,33.231,38.423,28.895,33.445
2,34.315,32.717,36.711,28.153,32.974
TIMES,SM1,SM2,SM3,SM4
1,66.152,64.555,41.960,61.588,58.564
2,41.219,41.675,34.372,30.378,36.911
TIMES,SM1,SM2,SM3,SM4
1,34.886,34.943,33.687,34.429,34.486
TIMES,SM1,SM2,SM3,SM4
TIMES,SM1,SM2,SM3,SM4
1,40.876,41.390,34.486,31.519,37.068
2,39.621,40.306,34.486,28.552,35.741
TIMES,SM1,SM2,SM3,SM4
1,58.221,55.996,53.143,41.789,52.288
2,47.723,47.267,39.336,41.390,43.929
TIMES,SM1,SM2,SM3,SM4
1,48.522,48.008,38.708,42.873,44.528
TIMES,SM1,SM2,SM3,SM4
1,47.495,48.294,38.651,42.987,44.357
TIMES,SM1,SM2,SM3,SM4
1,48.065,48.636,38.765,43.957,44.856
TIMES,SM1,SM2,SM3,SM4
TIMES,SM1,SM2,SM3,SM4
1,48.465,47.495,36.940,43.501,44.100
2,49.092,49.092,38.138,43.387,44.927
3,47.210,48.522,37.852,43.045,44.157
4,47.723,49.092,36.768,42.417,44.000
5,47.837,48.807,36.312,42.873,43.957
6,48.636,49.150,37.111,43.558,44.614
7,48.294,49.150,34.657,43.102,43.801
8,48.750,48.522,35.114,42.645,43.758
9,48.237,47.153,33.630,41.789,42.702
10,47.153,47.038,34.372,41.561,42.531
11,48.636,48.065,33.916,41.675,43.073
TIMES,SM1,SM2,SM3,SM4
1,47.495,47.894,35.057,43.672,43.530
2,48.408,49.435,34.543,41.390,43.444
3,48.636,48.351,33.117,42.474,43.144
4,49.720,48.008,33.174,42.189,43.273
5,48.065,47.780,33.516,42.702,43.016
6,50.234,47.780,34.144,43.387,43.886
TIMES,SM1,SM2,SM3,SM4
1,48.807,47.324,32.717,40.534,42.346
2,49.035,49.207,33.516,41.276,43.259
3,48.807,47.096,32.946,43.216,43.016
4,47.723,48.921,34.144,41.276,43.016
5,47.723,48.522,32.546,40.192,42.246
6,49.549,47.267,32.261,41.504,42.645
TIMES,SM1,SM2,SM3,SM4
TIMES,SM1,SM2,SM3,SM4
1,48.978,48.237,35.856,43.558,44.157
2,49.378,49.663,35.000,40.363,43.601
3,48.465,49.777,33.630,42.816,43.672
4,46.924,44.984,33.687,40.705,41.575
5,47.552,46.810,34.315,42.930,42.902
6,47.951,47.609,33.345,43.216,43.030
7,66.609,66.951,31.976,64.840,57.594
TIMES,SM1,SM2,SM3,SM4
1,64.269,64.840,33.916,64.155,56.795
2,64.498,63.756,33.802,62.729,56.196
TIMES,SM1,SM2,SM3,SM4
1,60.789,62.900,31.519,61.702,54.227
TIMES,SM1,SM2,SM3,SM4
1,62.729,61.474,32.946,63.413,55.140
TIMES,SM1,SM2,SM3,SM4
1,60.789,60.218,33.060,63.471,54.384
TIMES,SM1,SM2,SM3,SM4
TIMES,SM1,SM2,SM3,SM4
1,61.188,61.759,32.660,27.069,45.669
TIMES,SM1,SM2,SM3,SM4
1,34.829,30.150,34.714,55.882,38.894
TIMES,SM1,SM2,SM3,SM4
1,31.234,34.829,34.829,56.110,39.250
TIMES,SM1,SM2,SM3,SM4
TIMES,SM1,SM2,SM3,SM4
1,29.694,30.207,34.714,57.194,37.952
TIMES,SM1,SM2,SM3,SM4
1,29.066,30.492,34.714,57.480,37.938
TIMES,SM1,SM2,SM3,SM4
1,36.597,36.597,35.228,55.996,41.105
2,36.940,36.084,34.201,56.681,40.976
TIMES,SM1,SM2,SM3,SM4
1,36.711,35.684,34.429,57.480,41.076
2,64.897,65.410,34.429,57.023,55.440
3,65.696,64.269,34.030,55.483,54.869
4,65.182,65.810,33.573,56.053,55.155
5,64.440,63.813,32.603,54.912,53.942
6,65.696,64.326,32.660,56.624,54.827
7,65.753,64.783,33.117,54.113,54.441
8,65.582,65.410,33.687,55.026,54.926
9,64.326,64.498,33.744,54.969,54.384
10,64.555,66.152,33.345,55.711,54.941
11,65.011,64.440,32.717,55.483,54.413
12,64.726,64.954,33.859,56.339,54.969
13,63.699,65.182,32.375,55.369,54.156
14,65.182,65.582,33.973,55.140,54.969
15,65.410,63.756,33.174,55.426,54.441
16,65.525,63.984,33.459,55.540,54.627
17,64.326,64.155,32.204,56.453,54.285
18,64.612,64.326,31.976,55.312,54.056
19,64.155,64.269,32.889,54.513,53.956
20,63.756,65.182,32.832,56.053,54.456
21,64.612,64.555,32.261,54.798,54.056
22,64.212,64.383,32.832,55.254,54.170
23,65.810,63.642,31.976,55.540,54.242
24,64.555,62.843,32.090,56.567,54.014
25,63.471,63.242,32.489,54.227,53.357
26,64.155,64.498,32.546,55.083,54.071
27,64.155,63.585,31.805,56.281,53.956
28,65.582,64.783,33.003,55.939,54.827
29,63.870,64.326,32.489,54.513,53.800
30,63.756,64.726,31.805,54.170,53.614
31,63.870,65.239,31.748,55.369,54.056
32,64.954,63.471,32.318,56.110,54.213
33,64.783,65.068,32.033,55.369,54.313
34,64.612,64.783,31.348,54.456,53.800
35,63.813,63.413,32.147,55.882,53.814
36,64.041,64.954,31.862,54.456,53.828
37,63.870,62.957,31.805,54.969,53.400
38,64.155,64.326,31.862,55.711,54.014
39,63.927,63.471,31.805,54.912,53.529
40,63.927,63.756,32.432,55.768,53.971
41,64.669,64.440,31.862,55.768,54.185
42,64.669,65.068,32.603,55.083,54.356
43,63.528,63.299,31.633,54.570,53.258
44,63.984,64.440,32.318,56.167,54.227
45,63.356,63.528,32.603,54.170,53.414
46,64.954,64.269,32.889,55.426,54.384
47,63.642,64.726,32.832,54.513,53.928
48,64.212,64.212,32.261,55.312,53.999
49,64.269,63.813,32.660,54.741,53.871
50,65.011,64.326,31.576,54.113,53.757
51,63.585,63.870,32.204,54.056,53.429
52,63.699,63.471,31.919,54.456,53.386
53,63.813,63.071,32.946,55.939,53.942
54,64.897,63.242,32.660,54.798,53.899
55,63.927,62.729,32.432,53.999,53.272
56,62.957,63.528,32.204,56.453,53.785
57,62.672,63.471,32.717,54.342,53.300
58,63.642,64.840,32.375,54.170,53.757
59,62.843,63.870,32.603,55.996,53.828
60,64.555,63.071,33.288,55.140,54.014
61,63.813,63.870,32.832,53.942,53.614
62,64.612,64.440,32.318,55.426,54.199
63,64.555,62.558,32.489,54.170,53.443
64,65.239,63.185,33.231,55.597,54.313
65,63.756,62.957,32.261,55.483,53.614
66,63.984,63.585,32.261,55.254,53.771
67,62.386,64.098,31.633,54.741,53.215
68,65.582,62.729,31.919,54.570,53.700
69,63.128,62.957,31.576,55.483,53.286
70,64.612,63.756,31.690,55.882,53.985
71,62.957,63.471,32.717,55.312,53.614
72,63.870,63.528,32.946,55.140,53.871
73,64.383,63.128,31.576,54.969,53.514
74,63.071,63.984,33.003,55.426,53.871
75,62.672,63.585,31.748,55.654,53.414
76,63.413,65.182,31.576,54.684,53.714
77,65.239,63.185,32.432,53.771,53.657
78,64.383,63.356,32.147,54.399,53.571
79,62.558,62.729,30.949,55.540,52.944
80,63.585,63.071,31.576,55.939,53.543
81,63.128,63.813,31.805,54.741,53.372
82,62.843,62.843,31.748,53.657,52.773
83,62.729,63.585,32.033,54.798,53.286
84,63.014,63.756,32.090,53.999,53.215
85,62.501,62.900,33.345,54.113,53.215
86,64.555,62.900,31.576,54.684,53.429
87,64.098,62.386,33.288,55.597,53.842
88,62.215,65.353,32.033,55.540,53.785
89,62.386,63.014,32.603,55.026,53.258
90,63.071,63.642,32.204,55.254,53.543
91,62.501,63.870,32.147,53.486,53.001
92,64.269,62.957,33.630,55.540,54.099
93,63.528,63.185,32.603,54.855,53.543
94,63.014,62.957,32.033,54.741,53.186
95,63.756,62.615,32.375,54.399,53.286
96,62.786,62.615,32.090,55.825,53.329
97,62.443,63.471,32.147,54.170,53.058
98,64.155,62.501,31.976,53.942,53.143
99,63.071,63.528,31.633,53.942,53.044
100,64.212,64.383,32.489,54.399,53.871
101,62.843,62.615,32.375,54.285,53.029
102,63.927,63.471,32.204,55.254,53.714
103,63.413,62.329,32.489,54.399,53.158
104,62.501,63.699,31.690,54.570,53.115
105,62.729,64.155,32.261,54.741,53.471
106,63.585,65.353,31.805,54.170,53.728
107,63.356,63.356,32.889,55.483,53.771
108,63.528,63.356,31.690,55.882,53.614
109,62.158,64.155,31.633,55.711,53.414
110,64.555,63.471,32.375,55.426,53.956
111,62.957,63.014,32.660,54.627,53.315
112,63.756,63.014,32.090,54.513,53.343
113,62.900,62.558,32.318,53.828,52.901
114,63.413,63.927,32.489,54.056,53.471
115,63.299,62.957,31.519,55.140,53.229
116,63.984,62.786,32.660,54.399,53.457
117,62.215,62.558,31.748,54.912,52.858
118,63.471,63.699,32.090,55.483,53.685
119,63.813,63.014,32.033,54.342,53.300
120,63.071,62.329,32.489,55.711,53.400
121,62.272,62.957,32.660,54.056,52.987
122,62.615,63.528,31.748,54.570,53.115
123,62.615,62.215,31.519,55.083,52.858
124,62.501,63.185,33.288,54.855,53.457
125,63.585,62.558,32.147,53.372,52.915
126,62.900,63.242,32.660,53.600,53.101
127,62.843,63.299,32.261,55.140,53.386
128,64.155,63.299,31.348,54.684,53.372
129,62.386,62.501,32.717,54.170,52.944
130,63.014,64.041,31.519,54.113,53.172
131,62.615,62.215,31.576,54.227,52.658
132,63.128,62.386,31.348,54.741,52.901
133,63.128,63.413,32.147,54.627,53.329
134,63.642,63.984,31.177,55.825,53.657
135,62.843,63.585,32.261,55.312,53.500
136,62.443,63.128,31.348,55.140,53.015
137,62.615,62.729,31.348,53.942,52.658
138,63.471,63.413,32.375,55.026,53.571
139,62.386,64.041,32.033,54.969,53.357
140,62.900,62.729,31.919,54.342,52.972
141,63.185,63.128,32.033,53.543,52.972
142,63.356,62.558,31.177,53.714,52.701
143,63.756,62.044,31.748,54.741,53.072
144,62.501,63.471,31.063,55.483,53.129
145,62.957,63.756,31.177,54.227,53.029
146,61.588,64.098,31.462,55.254,53.101
147,62.501,62.615,31.576,53.600,52.573
148,62.900,63.128,31.234,55.083,53.086
149,63.128,63.984,32.090,55.768,53.743
150,63.585,64.041,31.462,54.969,53.514
151,62.786,62.786,32.033,55.026,53.158
152,61.930,64.383,32.432,54.227,53.243
153,62.329,62.672,32.432,55.140,53.143
154,63.128,62.386,32.261,54.627,53.101
155,62.215,62.329,32.775,53.429,52.687
156,64.155,63.870,32.546,55.083,53.914
157,62.729,61.588,31.519,53.429,52.316
158,63.870,65.125,31.519,55.768,54.071
159,64.098,62.786,32.432,54.684,53.500
160,64.155,62.843,32.375,55.197,53.643
161,62.101,63.756,32.375,55.026,53.315
162,64.041,62.900,31.348,53.657,52.987
163,62.672,62.386,30.721,53.714,52.373
164,63.585,62.729,32.090,54.741,53.286
165,63.185,63.984,31.519,53.486,53.044
166,63.356,63.756,31.462,54.170,53.186
167,64.041,62.843,31.462,55.369,53.429
168,64.326,63.813,32.204,54.684,53.757
169,63.756,63.413,31.976,52.972,53.029
170,62.786,63.014,31.862,55.254,53.229
171,62.672,63.356,32.603,53.143,52.944
172,63.927,64.498,31.576,55.654,53.914
173,63.471,62.615,31.690,54.627,53.101
174,62.615,62.900,32.261,55.711,53.372
175,64.383,61.873,32.375,55.197,53.457
176,63.699,64.212,31.919,53.714,53.386
177,63.870,63.471,31.862,55.197,53.600
178,64.098,62.843,31.690,54.912,53.386
179,63.242,62.386,32.147,53.999,52.944
180,62.900,64.041,31.633,54.456,53.258
181,63.699,63.356,32.033,54.399,53.372
182,63.128,62.729,32.318,54.456,53.158
183,63.185,62.729,31.576,53.999,52.872
184,63.585,63.756,32.432,54.741,53.628
185,63.927,63.870,31.405,53.258,53.115
186,63.528,63.299,30.949,55.312,53.272
187,62.957,63.413,31.120,54.741,53.058
188,62.957,63.984,31.690,53.771,53.101
189,63.071,62.501,31.976,55.140,53.172
190,64.212,64.326,31.690,53.942,53.543
191,63.642,62.443,31.919,55.369,53.343
192,62.843,63.870,32.432,53.200,53.086
193,62.558,63.242,30.892,54.912,52.901
194,62.329,63.014,33.060,55.197,53.400
195,63.927,62.272,30.549,53.771,52.630
196,64.098,63.471,31.120,55.083,53.443
197,63.927,63.642,32.033,55.140,53.685
198,62.672,63.870,31.177,55.483,53.300
199,36.084,36.198,32.375,55.654,40.078
TIMES,SM1,SM2,SM3,SM4
